xconcept1;concept2;size of concept1;size of concept2;confidence
строительство;российская компания;30;38;0.8667
строительство;украинское правительство;30;31;0.8667
строительство;аналитическое управление;30;38;0.9000
строительство;правительство РФ;30;33;1.0000
строительство;иностранная компания;30;39;0.9000
строительство;дополнительное средство;30;37;0.9000
строительство;российский производитель;30;36;0.8333
строительство;правительство;30;35;1.0000
строительство;официальный представитель;30;42;0.9667
строительство;российское законодательство;30;36;0.9667
строительство;страховая компания;30;36;0.8000
рост цен;компания;6;37;0.8333
рост цен;строительство;6;30;1.0000
рост цен;правоохранительный орган;6;24;0.8333
рост цен;российское правительство;6;38;1.0000
рост цен;российская компания;6;38;1.0000
рост цен;уголовная ответственность;6;29;0.8333
рост цен;управляющая компания;6;33;0.8333
рост цен;российский бюджет;6;30;0.8333
рост цен;украинское правительство;6;31;1.0000
рост цен;заместитель министра;6;20;0.8333
рост цен;аналитическое управление;6;38;0.8333
рост цен;собственное средство;6;34;0.8333
рост цен;министр;6;19;0.8333
рост цен;правительство РФ;6;33;1.0000
рост цен;иностранная компания;6;39;0.8333
рост цен;дополнительное средство;6;37;1.0000
рост цен;российский производитель;6;36;0.8333
рост цен;правительство;6;35;1.0000
рост цен;официальный представитель;6;42;1.0000
рост цен;российское законодательство;6;36;1.0000
рост цен;исполнительная власть;6;25;0.8333
рост цен;исполнительный директор;6;31;1.0000
рост цен;течение года;6;22;0.8333
рост цен;страховая компания;6;36;0.8333
налоговая нагрузка;компания;6;37;0.8333
налоговая нагрузка;российская компания;6;38;0.8333
налоговая нагрузка;уголовная ответственность;6;29;1.0000
налоговая нагрузка;управляющая компания;6;33;0.8333
налоговая нагрузка;экономическая ситуация;6;26;0.8333
налоговая нагрузка;интеллектуальная собственность;6;29;0.8333
налоговая нагрузка;аналитик компании;6;34;0.8333
налоговая нагрузка;эксперт;6;26;0.8333
налоговая нагрузка;генеральный директор;6;26;0.8333
налоговая нагрузка;аналитическое управление;6;38;0.8333
налоговая нагрузка;собственное средство;6;34;0.8333
налоговая нагрузка;федеральный бюджет;6;23;0.8333
налоговая нагрузка;иностранная компания;6;39;0.8333
налоговая нагрузка;дополнительное средство;6;37;1.0000
налоговая нагрузка;Следственный комитет;6;31;1.0000
налоговая нагрузка;российский производитель;6;36;0.8333
налоговая нагрузка;федеральный закон;6;24;0.8333
налоговая нагрузка;правительство;6;35;1.0000
налоговая нагрузка;официальный представитель;6;42;1.0000
налоговая нагрузка;совет директоров;6;25;0.8333
налоговая нагрузка;исполнительная власть;6;25;0.8333
налоговая нагрузка;Общественная палата;6;20;0.8333
налоговая нагрузка;исполнительный директор;6;31;0.8333
налоговая нагрузка;страховая компания;6;36;0.8333
европейская страна;российский рубль;9;26;0.8889
европейская страна;российская сторона;9;27;0.8889
европейская страна;российский газ;9;27;0.8889
европейская страна;российская валюта;9;25;0.8889
европейская страна;российское правительство;9;38;0.8889
европейская страна;российская компания;9;38;0.8889
европейская страна;российский рынок;9;25;0.8889
европейская страна;российский бюджет;9;30;0.8889
европейская страна;аналитик компании;9;34;0.8889
европейская страна;генеральный директор;9;26;0.8889
европейская страна;украинское правительство;9;31;0.8889
европейская страна;аналитическое управление;9;38;1.0000
европейская страна;российская власть;9;27;0.8889
европейская страна;Российская Федерация;9;31;0.8889
европейская страна;дополнительное средство;9;37;0.8889
европейская страна;российский банк;9;29;0.8889
европейская страна;российский производитель;9;36;0.8889
европейская страна;официальный представитель;9;42;1.0000
европейская страна;совет директоров;9;25;0.8889
европейская страна;российское законодательство;9;36;0.8889
европейская страна;российский бизнес;9;28;1.0000
чрезвычайная ситуация;компания;7;37;1.0000
чрезвычайная ситуация;российское правительство;7;38;1.0000
чрезвычайная ситуация;российская компания;7;38;1.0000
чрезвычайная ситуация;экономическая ситуация;7;26;1.0000
чрезвычайная ситуация;российский бюджет;7;30;0.8571
чрезвычайная ситуация;интеллектуальная собственность;7;29;0.8571
чрезвычайная ситуация;аналитик компании;7;34;1.0000
чрезвычайная ситуация;аналитическое управление;7;38;1.0000
чрезвычайная ситуация;собственное средство;7;34;1.0000
чрезвычайная ситуация;правительство РФ;7;33;0.8571
чрезвычайная ситуация;Российская Федерация;7;31;0.8571
чрезвычайная ситуация;иностранная компания;7;39;1.0000
чрезвычайная ситуация;дополнительное средство;7;37;0.8571
чрезвычайная ситуация;Следственный комитет;7;31;1.0000
чрезвычайная ситуация;российский банк;7;29;0.8571
чрезвычайная ситуация;российский производитель;7;36;0.8571
чрезвычайная ситуация;правительство;7;35;0.8571
чрезвычайная ситуация;официальный представитель;7;42;1.0000
чрезвычайная ситуация;экономическое развитие;7;22;0.8571
чрезвычайная ситуация;экономическая санкция;7;18;0.8571
чрезвычайная ситуация;российское законодательство;7;36;1.0000
чрезвычайная ситуация;исполнительный директор;7;31;0.8571
чрезвычайная ситуация;страховая компания;7;36;1.0000
противный случай;компания;12;37;1.0000
противный случай;российское правительство;12;38;1.0000
противный случай;российская компания;12;38;0.9167
противный случай;управляющая компания;12;33;0.9167
противный случай;интеллектуальная собственность;12;29;0.9167
противный случай;аналитик компании;12;34;0.9167
противный случай;аналитическое управление;12;38;0.8333
противный случай;собственное средство;12;34;1.0000
противный случай;иностранная компания;12;39;1.0000
противный случай;дополнительное средство;12;37;0.9167
противный случай;крупная компания;12;30;0.8333
противный случай;официальный представитель;12;42;0.8333
противный случай;российское законодательство;12;36;0.9167
противный случай;страховая компания;12;36;0.9167
запрос Известий"";компания;16;37;1.0000
запрос Известий"";российское правительство;16;38;0.8750
запрос Известий"";российская компания;16;38;0.9375
запрос Известий"";управляющая компания;16;33;0.8750
запрос Известий"";российский бюджет;16;30;0.8125
запрос Известий"";аналитик компании;16;34;0.9375
запрос Известий"";украинское правительство;16;31;0.8125
запрос Известий"";аналитическое управление;16;38;0.8750
запрос Известий"";Российская Федерация;16;31;0.8750
запрос Известий"";иностранная компания;16;39;1.0000
запрос Известий"";российский производитель;16;36;0.8750
запрос Известий"";крупная компания;16;30;0.8750
запрос Известий"";правительство;16;35;0.8125
запрос Известий"";официальный представитель;16;42;1.0000
запрос Известий"";российское законодательство;16;36;0.8750
запрос Известий"";страховая компания;16;36;1.0000
банковская система;банковский сектор;14;13;0.8571
банковская система;российское правительство;14;38;0.8571
банковская система;российская компания;14;38;0.9286
банковская система;экономическая ситуация;14;26;0.8571
банковская система;интеллектуальная собственность;14;29;0.8571
банковская система;аналитическое управление;14;38;1.0000
банковская система;собственное средство;14;34;0.9286
банковская система;правительство РФ;14;33;0.8571
банковская система;дополнительное средство;14;37;0.9286
банковская система;Следственный комитет;14;31;0.8571
банковская система;правительство;14;35;0.9286
банковская система;официальный представитель;14;42;1.0000
банковская система;российское законодательство;14;36;0.8571
российская сторона;компания;27;37;0.8519
российская сторона;российский рубль;27;26;0.9259
российская сторона;российский газ;27;27;0.9630
российская сторона;российская валюта;27;25;0.8889
российская сторона;российское правительство;27;38;1.0000
российская сторона;российская компания;27;38;1.0000
российская сторона;российский рынок;27;25;0.8889
российская сторона;российский бюджет;27;30;0.9630
российская сторона;российская экономика;27;25;0.8519
российская сторона;аналитическое управление;27;38;0.8889
российская сторона;собственное средство;27;34;0.8519
российская сторона;российская власть;27;27;0.9630
российская сторона;Российская Федерация;27;31;0.9630
российская сторона;иностранная компания;27;39;0.8519
российская сторона;дополнительное средство;27;37;0.8889
российская сторона;российский банк;27;29;1.0000
российская сторона;российский производитель;27;36;1.0000
российская сторона;официальный представитель;27;42;0.9630
российская сторона;российское законодательство;27;36;0.9630
российская сторона;российский бизнес;27;28;0.9630
российская сторона;страховая компания;27;36;0.8148
бизнес;средний бизнес;12;11;0.9167
бизнес;компания;12;37;0.8333
бизнес;российское правительство;12;38;0.8333
бизнес;американская компания;12;23;0.8333
бизнес;аналитическое управление;12;38;0.9167
бизнес;собственное средство;12;34;0.8333
бизнес;иностранная компания;12;39;0.9167
бизнес;Следственный комитет;12;31;0.9167
бизнес;российский производитель;12;36;0.9167
бизнес;официальный представитель;12;42;1.0000
бизнес;российский бизнес;12;28;0.8333
международная платежная система;строительство;16;30;0.8125
международная платежная система;российское правительство;16;38;0.8750
международная платежная система;российская компания;16;38;0.8125
международная платежная система;иностранный инвестор;16;20;0.8125
международная платежная система;украинское правительство;16;31;0.8125
международная платежная система;аналитическое управление;16;38;0.8750
международная платежная система;правительство РФ;16;33;0.8750
международная платежная система;иностранная компания;16;39;0.9375
международная платежная система;российский производитель;16;36;0.8125
международная платежная система;правительство;16;35;0.8750
международная платежная система;официальный представитель;16;42;1.0000
международная платежная система;российское законодательство;16;36;0.8125
международная платежная система;Международный валютный фонд;16;14;0.8750
международная платежная система;страховая компания;16;36;0.8125
консалтинговая компания;компания;16;37;1.0000
консалтинговая компания;российское правительство;16;38;0.8125
консалтинговая компания;российская компания;16;38;0.9375
консалтинговая компания;американская компания;16;23;0.9375
консалтинговая компания;управляющая компания;16;33;1.0000
консалтинговая компания;аналитик компании;16;34;0.9375
консалтинговая компания;эксперт;16;26;0.8125
консалтинговая компания;украинское правительство;16;31;0.8750
консалтинговая компания;аналитическое управление;16;38;0.8125
консалтинговая компания;нефтяная компания;16;22;0.9375
консалтинговая компания;иностранная компания;16;39;0.9375
консалтинговая компания;дополнительное средство;16;37;0.8125
консалтинговая компания;российский производитель;16;36;0.8750
консалтинговая компания;крупная компания;16;30;0.9375
консалтинговая компания;официальный представитель;16;42;1.0000
консалтинговая компания;страховая компания;16;36;0.9375
рейтинговое агентство;компания;12;37;0.8333
рейтинговое агентство;строительство;12;30;0.9167
рейтинговое агентство;российское правительство;12;38;0.8333
рейтинговое агентство;российская компания;12;38;0.8333
рейтинговое агентство;интеллектуальная собственность;12;29;0.8333
рейтинговое агентство;аналитик компании;12;34;0.8333
рейтинговое агентство;Национальное рейтинговое агентство;12;20;1.0000
